ActionName	UserName	GroupName	Help	Type	FileName	ArgIn	ArgOut
Borders	Добавить поля	Internal Actions	Нанести поля на изображение Добавить поля	 (filter)	D:\vt5\vt5\debug\comps\ImageDoc.dll	Left:int=0; Top:int=0; Right:int=0; Bottom:int=0; Source:Image	Expanded:Image	
Crop	Вырезать фрагмент	Изображение	Вырезать фрагмент изображения Вырезать фрагмент	 (interactive)	D:\vt5\vt5\debug\comps\ImageDoc.dll	X:int=0; Y:int=0; Width:int=-1; Height:int=-1		
ShowSource	Исходное изображение	Вид	Показать исходное изображение Исходное изображение		D:\vt5\vt5\debug\comps\ImageDoc.dll			
ShowPseudo	Цветокодированное изображение	Вид	Показать цветокодированное изображение Цветокодированное изображение		D:\vt5\vt5\debug\comps\ImageDoc.dll			
ShowPhase	Показать фазы	Вид	Показать фазы Показать фазы		D:\vt5\vt5\debug\comps\ImageDoc.dll			
ShowBinaryFore	Трейсы на исходном изображении	Вид	Показать трейсы на исходном изображении Трейсы на исходном изображении		D:\vt5\vt5\debug\comps\ImageDoc.dll			
ShowBinaryBack	Трейсы на фоне	Вид	Показать трейсы на фоне Трейсы на фоне		D:\vt5\vt5\debug\comps\ImageDoc.dll			
ShowBinary	Бинарное изображение	View	Показать бинарное изображение Бинарное изображение		D:\vt5\vt5\debug\comps\ImageDoc.dll			
ShowBinaryContour	Показать бинарное с контурами	View	Показать бинарное изображение с контурами Показать бинарное с контурами		D:\vt5\vt5\debug\comps\ImageDoc.dll			
ShowView	Показать вид с использованием программного идентификатора	View	Показать вид с использованием программного идентификатора Показать вид с использованием программного идентификатора		D:\vt5\vt5\debug\comps\ImageDoc.dll	ViewProgID:string=ImageDoc.ImageView		
CanConvertToGray	CanConvertToGray	Вид	CanConvertToGray CanConvertToGray		D:\vt5\vt5\debug\comps\ImageDoc.dll			
ConvertImage	Конвертирование изображения...	Изображение	Перевести изображение в другую цветовую модель Конвертирование изображения	 (filter)	D:\vt5\vt5\debug\comps\ImageDoc.dll	newColorSystem:string; DeleteArg:int=-1; Source:Image	Converted:Image	
MacroRecord	Записать новый макрос	Tools	Записать новый макрос Записать новый макрос		D:\vt5\vt5\debug\comps\macros.dll			
MeasManualFreeLine	Длина произвольной линии	Измерения	Измерить длину произвольной линии Длина произвольной линии	 (interactive)	D:\vt5\vt5\debug\comps\MeasManual.dll			
MeasManualSpline	Длина линии сплайном	Измерения	Измерить длину линии сплайном Длина линии сплайном	 (interactive)	D:\vt5\vt5\debug\comps\MeasManual.dll			
MeasManualCount	Подсчет количества	Измерения	Подсчет количества объектов. Левая кнопка мыши-подсчет, правая-завершение. Подсчет количества	 (interactive)	D:\vt5\vt5\debug\comps\MeasManual.dll			
MeasManualLine	Длина прямой линии	Измерения	Измерить длину прямой линии Длина прямой линии	 (interactive)	D:\vt5\vt5\debug\comps\MeasManual.dll			
MeasManualBrokenLine	Длина ломаной линии	Измерения	Измерить длину ломаной линии Длина ломаной линии	 (interactive)	D:\vt5\vt5\debug\comps\MeasManual.dll			
MeasManualCycle2	Радиус по 2 точкам	Измерения	Измерить радиус по 2 точкам Радиус по 2 точкам	 (interactive)	D:\vt5\vt5\debug\comps\MeasManual.dll			
MeasManualCycle3	Радиус по 3 точкам	Измерения	Измерить радиус по 3 точкам Радиус по 3 точкам	 (interactive)	D:\vt5\vt5\debug\comps\MeasManual.dll			
MeasManualAngle3Point	Угол по 3 точкам	Измерения	Измерить угол по 3 точкам Угол по 3 точкам	 (interactive)	D:\vt5\vt5\debug\comps\MeasManual.dll			
MeasManualAngle2Line	Угол по 2 линиям	Измерения	Измерить угол по двум линиям Угол по 2 линиям	 (interactive)	D:\vt5\vt5\debug\comps\MeasManual.dll			
MeasManualParallel	Расстояние между параллельными линиями	Измерения	Расстояние между параллельными линиями. Левая кнопка мыши-измерить, правая-закончить. Расстояние между параллельными линиями	 (interactive)	D:\vt5\vt5\debug\comps\MeasManual.dll			
MtdClearMethod	Очистить список	Методика	Удаление всех шагов методики Удаление всех шагов методики		D:\vt5\vt5\debug\comps\Metodics.dll	MethodName:string; ShowWarning:int=1		
MtdInsertMsgStep	Вставить сообщение	Методика	Вставить сообщение в активную методику Вставить сообщение в активную методику		D:\vt5\vt5\debug\comps\Metodics.dll	Message:string; ShowResult:int=1		
ExportScript	ExportScript	Method	ExportScript ExportScript		D:\vt5\vt5\debug\comps\Metodics.dll	FileName:string		
MethodRedo	MethodRedo	Method	MethodRedo MethodRedo		D:\vt5\vt5\debug\comps\Metodics.dll			
MethodUndo	MethodUndo	Method	MethodUndo MethodUndo		D:\vt5\vt5\debug\comps\Metodics.dll			
MtdDeleteMethod	Удалить методику	Методика	Удалить методику Удалить методику		D:\vt5\vt5\debug\comps\Metodics.dll	MethodName:string; ShowWarning:int=1		
MtdCopyMethod	Копировать методику	Методика	Копировать методику Копировать методику		D:\vt5\vt5\debug\comps\Metodics.dll	MethodName:string; Activate:int=1		
MtdSaveMethod	MtdSaveMethod	Method	MtdSaveMethod MtdSaveMethod		D:\vt5\vt5\debug\comps\Metodics.dll	MethodName:string		
MtdCreateMethod	Новая методика	Методика	Новая методика Новая методика		D:\vt5\vt5\debug\comps\Metodics.dll	MethodName:string; Activate:int=1		
MtdRunStop	Старт методики	Методика	Запустить или остановить методику Старт методики		D:\vt5\vt5\debug\comps\Metodics.dll			
MtdList	Список методик	Методика	Список методик Список методик		D:\vt5\vt5\debug\comps\Metodics.dll			
MethodOpen	MethodOpen	Method	MethodOpen MethodOpen		D:\vt5\vt5\debug\comps\Metodics.dll	PanePath:string; Open:int=1		
MtdRemoveItem	MtdRemoveItemt	Method	MtdRemoveItem MtdRemoveItem		D:\vt5\vt5\debug\comps\Metodics.dll			
StoreMtdContent	StoreMtdContent	Method	StoreMtdContent StoreMtdContent		D:\vt5\vt5\debug\comps\Metodics.dll	FileName:string		
LoadMtdContent	LoadMtdContent	Method	LoadMtdContent LoadMtdContent		D:\vt5\vt5\debug\comps\Metodics.dll	FileName:string		
RemoveMtdPane	RemoveMtdPane	Method	RemoveMtdPane RemoveMtdPane		D:\vt5\vt5\debug\comps\Metodics.dll			
AddMtdPane	AddMtdPane	Method	AddMtdPane AddMtdPane		D:\vt5\vt5\debug\comps\Metodics.dll	PaneName:string		
TriggerSequence	Последовательный ввод по внешнему сигналу	Ввод	Последовательный ввод по внешнему сигналу Последовательный ввод по внешнему сигналу		D:\vt5\vt5\debug\comps\NewDoc.dll			
DoTrigger	Программный триггер	Ввод	Эмуляция срабатывания внешнего сигнала Программный триггер		D:\vt5\vt5\debug\comps\NewDoc.dll			
TriggerMode	Ввод по триггеру	Ввод	Ввод изображения по внешнему сигналу Ввод по триггеру		D:\vt5\vt5\debug\comps\NewDoc.dll			
DriverDlg	Настройки драйвера камеры	Ввод	Настройки драйвера камеры Настройки драйвера камеры		D:\vt5\vt5\debug\comps\NewDoc.dll	DialogName:string		
ShowPreview	Видео	Вид	Просмотр "живого видео" с видеоустройства Видео		D:\vt5\vt5\debug\comps\NewDoc.dll			
InputVideo	Видео	Ввод	Видео Видео		D:\vt5\vt5\debug\comps\NewDoc.dll	SelectDriver:int=1; DialogMode:int=1; Name:string; Configuration:string		
InputImageInCurrentDoc	Ввод изображения в активный документ	По умолчанию	Ввести изображение в активный документ Ввод изображения в активный документ		D:\vt5\vt5\debug\comps\NewDoc.dll	SelectDriver:int=1; DialogMode:int=1; First:int=1; Name:string; Configuration:string		
InputImage	Способ получения изображения	Ввод	Выбор способа получения изображения Способ получения изображения		D:\vt5\vt5\debug\comps\NewDoc.dll	SelectDriver:int=1; DialogMode:int=1; First:int=1; Name:string; Configuration:string		
RestoreSel	restore selection	По умолчанию	restore selection RestoreSel		D:\vt5\vt5\debug\comps\NewDoc.dll			
ImageBySel	Обрезать по рамке	Изображение	Обрезать изображение по рамке Обрезать по рамке		D:\vt5\vt5\debug\comps\NewDoc.dll	RestoreSel:bool=0		
SetListZOrder	SetListZOrder	Измерения	SetListZOrder SetListZOrder		D:\vt5\vt5\debug\comps\objects.dll	ZOrder:int=0; UsedClass:int=-1; ClassifierName:string; ListName:string		
JoinAllObjects	Join all objects	Edit	Join all objects Join all objects	 (filter)	D:\vt5\vt5\debug\comps\objects.dll	UseClasses:int=0; ClassifierName:string; InitContours:int=0; MeasObjects:Object List	TotalObject:Object List	
ReCalcOnChangeCalibr	Перемерить объекты	Измерения	Перемерить объекты в соответствии с выбранной калибровкой Перемерить объекты		D:\vt5\vt5\debug\comps\objects.dll	ObjList:string		
CalcMeasResult	Измерить объекты	Измерения	Измерить или перемерить нанесенные объекты Измерить объекты		D:\vt5\vt5\debug\comps\objects.dll	ObjectList:string		
ObjectMagickStick	Волшебная палочка	Измерения	Shift-добавление, Alt-вычитание Волшебная палочка	 (interactive)	D:\vt5\vt5\debug\comps\objects.dll			
ObjectRect	Прямоугольный объект	Измерения	Shift-добавление, Alt-вычитание, Ctrl-перекрестье Прямоугольный объект	 (interactive)	D:\vt5\vt5\debug\comps\objects.dll	Left:int=0; Top:int=0; Right:int=0; Bottom:int=0		
ObjectEllipse	Круглый объект	Измерения	Shift-добавление, Alt-вычитание Круглый объект	 (interactive)	D:\vt5\vt5\debug\comps\objects.dll	X:int=-1; Y:int=-1; R:int=-1		
ObjectSpline	Объект сплайном	Измерения	Shift-добавление, Alt-вычитание, завершение-двойное нажатие левой кнопки Объект сплайном	 (interactive)	D:\vt5\vt5\debug\comps\objects.dll			
ObjectFree	Произвольный объект	Измерения	Shift-добавление, Alt-вычитание Произвольный объект	 (interactive)	D:\vt5\vt5\debug\comps\objects.dll			
ObjectRectFixed	Прямоугольный фиксированный объект	Измерения	Shift-добавление, Alt-вычитание Прямоугольный фиксированный объект	 (interactive)	D:\vt5\vt5\debug\comps\objects.dll	X:double=-1; Y:double=-1; Width:double=0; Height:double=0; UseCalibration:int=0		
ObjectRectDirect	Прямоугольный направленный объект	Измерения	Shift-добавление, Alt-вычитание Прямоугольный направленный объект 	 (interactive)	D:\vt5\vt5\debug\comps\objects.dll	X1:int=-1; Y1:int=-1; X2:int=-1; Y2:int=-1; Width:int=-1		
ObjectEllipseFixed	Эллиптический фиксированный объект	Измерения	Shift-добавление, Alt-вычитание Эллиптический фиксированный объект	 (interactive)	D:\vt5\vt5\debug\comps\objects.dll	X:double=-1; Y:double=-1; Width:double=0; Height:double=0; UseCalibration:int=0		
ObjectEllipseDirect	Эллиптический направленный объект	Измерения	Shift-добавление, Alt-вычитание Эллиптический направленный объект	 (interactive)	D:\vt5\vt5\debug\comps\objects.dll	X1:int=-1; Y1:int=-1; X2:int=-1; Y2:int=-1; Width:int=-1		
ObjectEditorSpec	Область на изображении	Измерения	Левая кнопка мыши-рисование Область на изображении	 (interactive)	D:\vt5\vt5\debug\comps\objects.dll			
ObjectEditor	Карандаш	Измерения	Левая кнопка мыши-рисование, правая-стирание Карандаш	 (interactive)	D:\vt5\vt5\debug\comps\objects.dll			
ObjectLine	Линейный объект	Измерения	Нанести линейный объект Линейный объект	 (interactive)	D:\vt5\vt5\debug\comps\objects.dll			
ObjectPolyLine	Объект ломаной линией	Измерения	Нанести объект в форме ломаной линии Объект ломаной линией	 (interactive)	D:\vt5\vt5\debug\comps\objects.dll			
ObjectsMakeLight	Облегчить объекты	Правка	Облегчить объекты Облегчить объекты	 (filter)	D:\vt5\vt5\debug\comps\objects.dll	MeasObjects:Object List	MeasObjects light:Object List	
ObjectsSplit	Разделить объекты на классы	Правка	Разделить объекты на классы Разделить объекты на классы	 (filter)	D:\vt5\vt5\debug\comps\objects.dll	MeasObjects:Object List		
ObjectsSetClass	Назначить класс для всех объектов в списке	Правка	Назначить класс для всех объектов в списке Назначить класс для всех объектов в списке	 (filter)	D:\vt5\vt5\debug\comps\objects.dll	Class:string; MeasObjects:Object List	ObjectsSetClass:Object List	
ObjectsMerge	Объединить два списка объектов	Измерения	Объединить два списка объектов Объединить два списка объектов	 (filter)	D:\vt5\vt5\debug\comps\objects.dll	MeasObjects1:Object List; MeasObjects2:Object List; VerifyType:int=0	ObjectsMerge:Object List	
ObjectsRemove	Удалить все объекты выбранного класса	Правка	Удалить все объекты выбранного класса Удалить все объекты выбранного класса	 (filter)	D:\vt5\vt5\debug\comps\objects.dll	Class:int=-2; MeasObjects:Object List	ObjectsRemove:Object List	
AutoAssignClasses	Автоматически разделить на классы по параметрам	Правка	Автоматически разделить на классы по параметрам Автоматически разделить на классы по параметрам	 (filter)	D:\vt5\vt5\debug\comps\objects.dll	MeasObjects:Object List	AutoAssignClasses:Object List	
ObjectScissors	Ножницы	Правка	Ножницы для разделения объектов Ножницы	 (interactive)	D:\vt5\vt5\debug\comps\objects.dll			
ObjectFilter	Фильтрация объектов	Правка	Фильтрация объектов Фильтрация объектов	 (filter)	D:\vt5\vt5\debug\comps\objects.dll	SectionName:string=Objects\ObjectFilter; ShowInterface:int=1; MeasObjects:Object List	ObjectFilter:Object List	
ObjectClassifyByLimits	Классифицировать объекты по пределам	Правка	Классифицировать объекты в соответствии с установленными пределами Классифицировать объекты по пределам	 (filter)	D:\vt5\vt5\debug\comps\objects.dll	SectionName:string=Objects\ObjectLimitsClassifier; ShowInterface:int=1; MeasObjects:Object List	ObjectClassifier:Object List	
FilterObjectList	FilterObjectList	Edit	FilterObjectList FilterObjectList	 (filter)	D:\vt5\vt5\debug\comps\objects.dll	Action:string; Params:string; LeaveVirtual:int=0; ActiveObjectOnly:int=0; ObjectList:Object List	ObjectListNew:Object List	
MakeObjectsVirtual	MakeObjectsVirtual	Правка	MakeObjectsVirtual MakeObjectsVirtual		D:\vt5\vt5\debug\comps\objects.dll			
MapObjectsToImage	MapObjectsToImage	Правка	MapObjectsToImage MapObjectsToImage		D:\vt5\vt5\debug\comps\objects.dll			
SetZOrder	SetZOrder	Edit	SetZOrder SetZOrder		D:\vt5\vt5\debug\comps\objects.dll	ParamKey:int=1; Direction:int=0		
ActiveObjectFillHoles	Заполнение дыр в активном объекте	Правка	Заполнение дыр в активном объекте Заполнение дыр в активном объекте		D:\vt5\vt5\debug\comps\objects.dll	Size:int=0		
ActiveObjectClose	Закрытие активного объекта	Правка	Закрытие активного объекта Закрытие активного объекта		D:\vt5\vt5\debug\comps\objects.dll	OperationsCount:int=1; MinObject:int=5		
ActiveObjectOpen	Открытие активного объекта	Правка	Открытие активного объекта Открытие активного объекта		D:\vt5\vt5\debug\comps\objects.dll	OperationsCount:int=1; MinObject:int=5		
ActiveObjectDilate	Дилатация активного объекта	Правка	Дилатация активного объекта Дилатация активного объекта		D:\vt5\vt5\debug\comps\objects.dll	OperationsCount:int=1		
ActiveObjectErode	Эрозия активного объекта	Правка	Эрозия активного объекта Эрозия активного объекта		D:\vt5\vt5\debug\comps\objects.dll	OperationsCount:int=1; MinObject:int=5		
FindBorderObjects	Поиск объектов, граничащих с рамкой	Правка	Поиск объектов, граничащих с рамкой Поиск объектов, граничащих с рамкой	 (filter)	D:\vt5\vt5\debug\comps\objects.dll	SrcList:Object List	DstList:Object List	
ObjectCutFrame	Отброс объектов от рамки	Правка	Отброс объектов от рамки Отброс объектов от рамки	 (filter)	D:\vt5\vt5\debug\comps\objects.dll	SrcList:Object List	DstList:Object List	
CreateImageByList	Заливка фона	Правка	Заливка областей изображения, не являющихся объектами Заливка фона	 (filter)	D:\vt5\vt5\debug\comps\objects.dll	Image:Image; Objects:Object List	Generated:Image	
OverlaySectionHorz	Горизонтальный график по яркости	Измерения	Создать новый горизонтальный график по яркости на изображении Горизонтальный график по яркости	 (interactive)	D:\vt5\vt5\debug\comps\oversect.dll			
OverlaySectionVert	Вертикальный график по яркости	Измерения	Создать новый вертикальный график по яркости на изображении Вертикальный график по яркости	 (interactive)	D:\vt5\vt5\debug\comps\oversect.dll			
OverlaySection	График яркости от точки до точки	Измерения	Создать новый график яркости от точки до точки на изображении График яркости от точки до точки	 (interactive)	D:\vt5\vt5\debug\comps\oversect.dll			
Print	Печать	Печать	Печать активного документа Печать		D:\vt5\vt5\debug\comps\Print.dll			
PrintPreview	Предварительный просмотр...	Печать	Предварительный просмотр отчета перед печатью Предварительный просмотр		D:\vt5\vt5\debug\comps\Print.dll			
PrintDesignMode	Конструктор шаблона отчета...	Печать	Создать шаблон отчета Конструктор шаблона отчета		D:\vt5\vt5\debug\comps\Print.dll			
PageSetup	Параметры страницы...	Печать	Параметры страницы Параметры страницы		D:\vt5\vt5\debug\comps\Print.dll			
PrinterSetup	Настройка печати...	Печать	Настройка печати Настройка печати		D:\vt5\vt5\debug\comps\Print.dll			
FitToPage	По размеру окна	Печать	Установить размер шаблона отчета по размеру окна По размеру окна		D:\vt5\vt5\debug\comps\Print.dll			
FitToPageWidth	По ширине	Печать	Установить ширину шаблона отчета по ширине окна По ширине		D:\vt5\vt5\debug\comps\Print.dll			
TemplateSetup	Установки шаблона...	Печать	Установки шаблона Установки шаблона		D:\vt5\vt5\debug\comps\Print.dll			
PrintTemplateDelete	Удалить шаблон отчета...	Печать	Удалить шаблон отчета Удалить шаблон отчета		D:\vt5\vt5\debug\comps\Print.dll			
ShowPreviewIndirect	Просмотр отчета	Печать	Предварительный просмотр отчета перед печатью Просмотр отчета		D:\vt5\vt5\debug\comps\Print.dll	ReadOnly:int=1		
ShowOptions	Установки...	Tools	Изменить установки программы Установки		D:\vt5\vt5\debug\comps\properties.dll			
ShowScript	Показать скрипт	View	Показать скрипт Показать скрипт		D:\vt5\vt5\debug\comps\ScriptDoc.dll			
ScriptChange	Заменить скрипт	Edit	Заменить скрипт Заменить скрипт		D:\vt5\vt5\debug\comps\ScriptDoc.dll			
ScriptTerminate	Остановить скрипт	Script	Остановить скрипт Остановить скрипт		D:\vt5\vt5\debug\comps\ScriptDoc.dll			
ScriptExecute	Выполнить скрипт	Script	Выполнить скрипт Выполнить скрипт		D:\vt5\vt5\debug\comps\ScriptDoc.dll			
BreakAtNextStatement	Точка останова на следующей строке	For Developers	Точка останова на следующей строке Точка останова на следующей строке		D:\vt5\vt5\debug\comps\ScriptDoc.dll			
ToggleBreakpoint	Включить/выключить точку останова	Script	Включить/выключить точку останова Включить/выключить точку останова		D:\vt5\vt5\debug\comps\ScriptDoc.dll			
StartDebugger	Запустить программу отладки	Script	Запустить внешнюю программу отладки Запустить программу отладки		D:\vt5\vt5\debug\comps\ScriptDoc.dll			
FourierSelectEllipse	Эллиптическая рамка на изображении Фурье	FFT	Нанести рамку эллиптической формы на изображение Фурье Эллиптическая рамка на изображении Фурье	 (interactive)	D:\vt5\vt5\debug\comps\selection.dll			
FourierSelectFree	Произвольная рамка на изображении Фурье	FFT	Нанести рамку произвольной формы на изображение Фурье Произвольная рамка на изображении Фурье	 (interactive)	D:\vt5\vt5\debug\comps\selection.dll			
FourierSelectCenter	Выделить центр изображения Фурье	FFT	Нанести рамку на центр изображения Фурье Выделить центр изображения Фурье	 (interactive)	D:\vt5\vt5\debug\comps\selection.dll			
MagickStick	Волшебная палочка	Рамки	Shift-добавление, Alt-вычитание Волшебная палочка	 (interactive)	D:\vt5\vt5\debug\comps\selection.dll			
SelectRect	Прямоугольная рамка	Рамки	Shift-добавление, Alt-вычитание, Ctrl-перекрестие Прямоугольная рамка	 (interactive)	D:\vt5\vt5\debug\comps\selection.dll	Left:int=0; Top:int=0; Right:int=0; Bottom:int=0		
SelectArea	Произвольная рамка	Рамки	Завершение-двойное нажатие левой кнопки мыши, Shift-добавление, Alt-вычитание Произвольная рамка	 (interactive)	D:\vt5\vt5\debug\comps\selection.dll			
SelectAdd	Добавить рамку	Рамки	Добавить новую рамку к активной Добавить рамку		D:\vt5\vt5\debug\comps\selection.dll	Select:int=-1		
SelectRemove	Удалить рамку	Рамки	Удалить новую рамку из активной Удалить рамку		D:\vt5\vt5\debug\comps\selection.dll	Select:int=-1		
SelectEllipse	Круглая рамка	Рамки	Используйте Shift для добавления и Alt для вычитания рамки Круглая рамка	 (interactive)	D:\vt5\vt5\debug\comps\selection.dll	X:int=-1; Y:int=-1; R:int=-1		
SelectInvert	Инвертировать рамку	Рамки	Инвертировать активную рамку Инвертировать рамку		D:\vt5\vt5\debug\comps\selection.dll			
SelectSmooth	Сглаживание рамки	Рамки	Сглаживание рамки Сглаживание рамки		D:\vt5\vt5\debug\comps\selection.dll			
SelectMakeVirtual	Виртуализировать рамку	Internal Actions	Виртуализировать рамку Виртуализировать рамку		D:\vt5\vt5\debug\comps\selection.dll			
SelectAll	Выделить все	Рамки	Нанести рамку на все изображение Выделить все		D:\vt5\vt5\debug\comps\selection.dll			
AddView	Добавить вид отображения в разделитель окна	Internal Actions	Добавить вид отображения в разделитель окна Добавить вид отображения в разделитель окна		D:\vt5\vt5\debug\comps\StdSplitter.dll	Name:string		
RemoveView	Удалить вид отображения из разделителя окна	Internal Actions	Удалить вид отображения из разделителя окна Удалить вид отображения из разделителя окна		D:\vt5\vt5\debug\comps\StdSplitter.dll			
RenameView	Переименовать вид отображения в разделителе окна	Internal Actions	Переименовать вид отображения в разделителе окна Переименовать вид отображения в разделителе окна		D:\vt5\vt5\debug\comps\StdSplitter.dll	Name:string		
LoadViewState	Загрузить сотояние вида отображения	Internal Actions	Загрузить сотояние вида отображения Загрузить сотояние вида отображения		D:\vt5\vt5\debug\comps\StdSplitter.dll	FileName:string		
SaveViewState	Сохранить сотояние вида отображения\Internal Actions	Сохранить сотояние вида отображения	Сохранить сотояние вида отображения Сохранить сотояние вида отображения		D:\vt5\vt5\debug\comps\StdSplitter.dll	FileName:string		
CompareScreen	Захватить вид сравнения	Internal Actions	Захват вида сравнения Захватить вид сравнения		D:\vt5\vt5\debug\comps\StdSplitter.dll	ImageName:string=CompareScreen		
SyncEdit	Синхронное редактирование	Вид	Синхронизировать операции редактирования Синхронное редактирование		D:\vt5\vt5\debug\comps\syncedit.dll			
SyncScroll	Синхронизация изображений	Окно	Синхронизация изображений (если окно документа разделено) Синхронизация изображений		D:\vt5\vt5\debug\comps\syncview.dll	Param:string		
SyncZoom	Синхронизация изображений и увеличений	Окно	Синхронизация изображений и увеличений (если окно документа разделено) Синхронизация изображений и увеличений		D:\vt5\vt5\debug\comps\syncview.dll	Param:string		
SyncScrollRelative	Относительная синхронизация изображений	Окно	Относительная синхронизация изображений (если окно документа разделено) Относительная синхронизация изображений		D:\vt5\vt5\debug\comps\syncview.dll	Param:string		
SyncContextAll	Синхронизация содержания	Окно	Синхронизация содержания и видов отображения Синхронизация содержания		D:\vt5\vt5\debug\comps\syncview.dll	Param:string		
SyncContext	Синхронизация содержания	Окно	Синхронизация содержания и видов отображения Синхронизация содержания		D:\vt5\vt5\debug\comps\syncview.dll	Param:string		
RunTestWindow	RunTestWindow	Tests	run test window RunTestWindow		D:\vt5\vt5\debug\comps\TestUI.dll			
EditTestDB	EditTestDB	Tests	edit tests database EditTestDB		D:\vt5\vt5\debug\comps\TestUI.dll			
ShowThumbnail	Показать кадр	Data	Показать кадр Показать кадр		D:\vt5\vt5\debug\comps\ThumbMan.dll			
InteractiveZoom	Интерактиваная лупа	Вид	Левой кнопкой мыши открыть выпадающий список, движком изменить увеличение Интерактиваная лупа		D:\vt5\vt5\debug\comps\zoom.dll			
ZoomIn	Увеличение	Вид	Увеличить изображение Увеличение		D:\vt5\vt5\debug\comps\zoom.dll			
ZoomOut	Уменьшение	Вид	Уменьшение изображения Уменьшение		D:\vt5\vt5\debug\comps\zoom.dll			
Zoom41	Уменьшение 4:1	Вид	Уменьшить изображение 4:1 Уменьшение 4:1		D:\vt5\vt5\debug\comps\zoom.dll			
Zoom31	Уменьшение 3:1	Вид	Уменьшить изображение 3:1 Уменьшение 3:1		D:\vt5\vt5\debug\comps\zoom.dll			
Zoom21	Уменьшение 2:1	Вид	Уменьшить изображения 2:1 Уменьшение 2:1		D:\vt5\vt5\debug\comps\zoom.dll			
Zoom12	Увеличение 1:2	Вид	Увеличить изображение 1:2 Увеличение 1:2		D:\vt5\vt5\debug\comps\zoom.dll			
Zoom13	Увеличение 1:3	Вид	Увеличить изображение 1:3 Увеличение 1:3		D:\vt5\vt5\debug\comps\zoom.dll			
Zoom14	Увеличение 1:4	Вид	Увеличить изображение 1:4 Увеличение 1:4		D:\vt5\vt5\debug\comps\zoom.dll			
ZoomNormal	Увеличение 1:1	Вид	Увеличить изображение 1:1 Увеличение 1:1		D:\vt5\vt5\debug\comps\zoom.dll			
Zoom	Лупа	Вид	Левая кнопка мыши: увеличение, +Shift: уменьшение, правая кнопка: исх. изображение Лупа	 (interactive)	D:\vt5\vt5\debug\comps\zoom.dll	Zoom:double=0		
FitDoc2Screen	Размер изображения по экрану	Вид	Устанавить размер изображения по размеру экрана Размер изображения по экрану		D:\vt5\vt5\debug\comps\zoom.dll			
Fit2Image	Размер окна по изображению	Вид	Установить размер окна документа по изображению Размер окна по изображению		D:\vt5\vt5\debug\comps\zoom.dll			
InteractiveScroll	Прокрутка изображения	Вид	Удерживая левую кнопку мыши, просматривайте изображение в любом направлении Прокрутка изображения	 (interactive)	D:\vt5\vt5\debug\comps\zoom.dll			
RequestForPrintSD	Запрос данных для печати по ShellData	Edit	Запрос значений пользовательских полей для печати по ShellData Request Values For Printing from ShellData		D:\vt5\vt5\debug\comps\PrintFieldAX.ocx	ShowIfDataExist:int=1		
StoreForPrint	Запись данных для печати	Edit	Запись значений пользовательских полей для печати Store Values For Printing		D:\vt5\vt5\debug\comps\PrintFieldAX.ocx	ShowIfDataExist:int=1		
RequestForPrint	Запрос данных для печати	Edit	Запрос значений пользовательских полей для печати Request Values For Printing		D:\vt5\vt5\debug\comps\PrintFieldAX.ocx	ShowIfDataExist:int=1; UseReportPosition:int=0; DlgTitle:string		
RequestForDB	Запрос данных для базы	Edit	Запрос значений пользовательских полей для базы данных Запрос данных для базы		D:\vt5\vt5\debug\comps\PrintFieldAX.ocx	ShowIfDataExist:int=1		
WindowClose	Закрыть окно	Окно	Закрыть активное окно Закрыть окно		D:\vt5\vt5\debug\shell.exe	WindowTitle:string		
WindowArrange	Упорядочить	Окно	Упорядочить значки Упорядочить		D:\vt5\vt5\debug\shell.exe			
WindowCascade	Расположить окна каскадом	Окно	Расположить окна каскадом Расположить окна каскадом		D:\vt5\vt5\debug\shell.exe			
WindowTile	Расположить окна мозаикой	Окно	Расположить окна мозаикой Расположить окна мозаикой		D:\vt5\vt5\debug\shell.exe			
WindowNew	Новое окно	Окно	Открыть новое окно Новое окно		D:\vt5\vt5\debug\shell.exe			
WindowActivate	Активизировать окно	Окно	Активизировать окно Активизировать окно		D:\vt5\vt5\debug\shell.exe	WindowTitle:string		
ShowVersion	Show Version...	File	Show version Show Version		D:\vt5\vt5\debug\shell.exe			
ToolsSaveAsState	SaveAs State...	Tools	SaveAs the program interface - toolbars, menus etc. SaveAs State		D:\vt5\vt5\debug\shell.exe	FileName:string		
ToolsLoadStateEx	Загрузить состояние панелей и меню...	Сервис	Загрузить состояние панелей и меню Загрузить состояние панелей и меню		D:\vt5\vt5\debug\shell.exe	FileName:string		
ToolsCustomize	Настройка...	Сервис	Настройка интерфейса программы-панелей инструментов, меню и т. д. Настройка		D:\vt5\vt5\debug\shell.exe			
ToolsSaveState	Сохранить состояние панелей и меню...	Сервис	Сохранить интерфейс программы  - панели инструментов, меню и т.д. Сохранить состояние панелей и меню		D:\vt5\vt5\debug\shell.exe	FileName:string		
ToolsLoadState	Загрузить состояние панелей и меню...	Сервис	Загрузить состояние панелей и меню Загрузить состояние панелей и меню		D:\vt5\vt5\debug\shell.exe	FileName:string		
HelpContext	Контекстная справка	Справка	Информация по выбранной кнопке, пункту меню или окну Контекстная справка		D:\vt5\vt5\debug\shell.exe	Topic:string		
HelpAbout	О программе...	Справка	Информация о программе О программе		D:\vt5\vt5\debug\shell.exe			
